0;NACECode;UnitOp;ProductCode;Product;E_EnergyInt_MIN-PC;E_EnergyInt_MAX-PC;E_EnergyInt_TARG-PC;E_EnergyInt_MIN-T;E_EnergyInt_MAX-T;E_EnergyInt_TARG-T;E_SEC min;E_SEC max;E_SEC_TARG;E_Unit;H_EnergyInt_MIN-PC;H_EnergyInt_MAX-PC;H_EnergyInt_TARG-PC;H_EnergyInt_MIN-T;H_EnergyInt_MAX-T;H_EnergyInt_TARG-T;H_SEC min;H_SEC max;H_SEC_TARG;H_Unit;T_EnergyInt_MIN-PC;T_EnergyInt_MAX-PC;T_EnergyInt_TARG-PC;T_EnergyInt_MIN-T;T_EnergyInt_MAX-T;T_EnergyInt_TARG-T;T_SEC min;T_SEC max;T_SEC_TARG;T_Unit;Comments;YearReference;References;Literature;DataRelevance;TurnoverMin;TurnoverMax;ProductionMin;ProductionMax;ProductionUnit
26;DA15.3;112;DA020;Tomatoe Juice, puree and paste;;;;;;;;;0.4;;;;;;;;;;;;;;;;;;;;;kWh/t;"All figures are referred to 1 t of 28 – 30 Brix tomato puree. Conversion coefficients for other final products: 7 – 12 Brix puree – multiply by 0.3; 20 – 22 Brix puree – multiply by 0.7, 36 – 40 Brix puree – multiply by 1.3";2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
27;DA15.3;1801;DA020;Tomatoe Juice, puree and paste;;;;;;;;;1.5;;;;;;;;;;;;;;;;;;;;;kWh/t;"All figures are referred to 1 t of 28 – 30 Brix tomato puree. Conversion coefficients for other final products: 7 – 12 Brix puree – multiply by 0.3; 20 – 22 Brix puree – multiply by 0.7, 36 – 40 Brix puree – multiply by 1.3";2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
28;DA15.3;1802;DA020;Tomatoe Juice, puree and paste;;;;;;;8;12;8;;;;;;;;;;;;;;;;;;;;;kWh/t;"All figures are referred to 1 t of 28 – 30 Brix tomato puree. Conversion coefficients for other final products: 7 – 12 Brix puree – multiply by 0.3; 20 – 22 Brix puree – multiply by 0.7, 36 – 40 Brix puree – multiply by 1.3";2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
29;DA15.3;1803;DA020;Tomatoe Juice, puree and paste;;;;;;;;;2.5;;;;;;;;;;;;;;;;;;;;;kWh/t;"All figures are referred to 1 t of 28 – 30 Brix tomato puree. Conversion coefficients for other final products: 7 – 12 Brix puree – multiply by 0.3; 20 – 22 Brix puree – multiply by 0.7, 36 – 40 Brix puree – multiply by 1.3";2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
30;DA15.3;401;DA020;Tomatoe Juice, puree and paste;;;;;;;15;25;15;;;;;;;;;;;;;;;;;;;;;kWh/t;"All figures are referred to 1 t of 28 – 30 Brix tomato puree. Conversion coefficients for other final products: 7 – 12 Brix puree – multiply by 0.3; 20 – 22 Brix puree – multiply by 0.7, 36 – 40 Brix puree – multiply by 1.3";2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
31;DA15.3;501;DA020;Tomatoe Juice, puree and paste;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;kWh/t;"All figures are referred to 1 t of 28 – 30 Brix tomato puree. Conversion coefficients for other final products: 7 – 12 Brix puree – multiply by 0.3; 20 – 22 Brix puree – multiply by 0.7, 36 – 40 Brix puree – multiply by 1.3";2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
32;DA15.3;301;DA020;Tomatoe Juice, puree and paste;;;;;;;60;80;60;;;;;;;;;;;;;;;;;;;;;kWh/t;"All figures are referred to 1 t of 28 – 30 Brix tomato puree. Conversion coefficients for other final products: 7 – 12 Brix puree – multiply by 0.3; 20 – 22 Brix puree – multiply by 0.7, 36 – 40 Brix puree – multiply by 1.3";2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
33;DA15.3;1701;DA020;Tomatoe Juice, puree and paste;;;;;;;;;3.5;;;;;;;;;;;;;;;;;;;;;kWh/t;"All figures are referred to 1 t of 28 – 30 Brix tomato puree. Conversion coefficients for other final products: 7 – 12 Brix puree – multiply by 0.3; 20 – 22 Brix puree – multiply by 0.7, 36 – 40 Brix puree – multiply by 1.3";2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
34;DA15.3;304;DA020;Tomatoe Juice, puree and paste;;;;;;;4;5;4;;;;;;;;;;;;;;;;;;;;;kWh/t;"All figures are referred to 1 t of 28 – 30 Brix tomato puree. Conversion coefficients for other final products: 7 – 12 Brix puree – multiply by 0.3; 20 – 22 Brix puree – multiply by 0.7, 36 – 40 Brix puree – multiply by 1.3";2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
35;DA15.3;401;DA020;Tomatoe Juice, puree and paste;;;;;;;;;;;;;;;;;700;900;700;;;;;;;;;;;kg steam/t;"All figures are referred to 1 t of 28 – 30 Brix tomato puree. Conversion coefficients for other final products: 7 – 12 Brix puree – multiply by 0.3; 20 – 22 Brix puree – multiply by 0.7, 36 – 40 Brix puree – multiply by 1.3";2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
