Index;Code;Description;Unit;HelpText;DataType;DefaultValue;MinValue;MaxValue;Required
C422;CO2ConvFuelCHP;Specific CO2 emission of fuel mix;t-CO2/kWhLCV;;;;;;
C423;FuelTariffMix;Mean tariff of the fuel mix;?/MWh;;;;;;
C424;FuelTariffCHP;Fuel tariff for CHP;?/MWh;;;;;;
C425;PECFuels ;Total Primary Energy per all fuels used in industry;MWh;;;;;;
C426;PECElect;Total Primary Energy per all electricity used in industry;MWh;;;;;;
C427;PETFuels;Total Primary Energy per all fuels thermal use;;;;;;;
C428;PETElect;Total Primary Energy per all electricity thermal use;;;;;;;
C429;FECel;Total electricity consumed by the factory;;;;;;;
C430;FETel;Total electricity consumed by the factory for thermal uses;;;;;;;
0500;;Equipment for heat and cold generation;;;;;;;
0501;Equipment;Short name of equipment;-;;;;;;
0502;Manufact;Manufacturer;;;;;;;
0503;YearManufact;Year of  manufacturing or/and installation?;;;;;;;
0504;Model;Model;;;;;;;
0505;EquipType;Type of equipment;;;;;;;
0506;NumEquipUnits;Number of units of the same type;;;;;;;
0507;FuelType; Fuel type;;;;;;;
0508;HCGPnom;Nominal Power (heat or cold, output);kW;;;;;;
0509;FuelConsum;Fuel consumption (nominal);;;;;;;
0510;UnitsFuelConsum;Units (fuel consumption);-;;;;;;
0511;ElectriConsum;Electricity consumption;kW;;;;;;
0512;HCGTEfficiency;Mean overall thermal conversion efficiency;%;;;;;;
0513;HCGEEfficiency;CHP only: Electrical conversion efficiency;%;;;;;;
0514;ElectriProduction;CHP only: Electricity production;kW;;;;;;
0515;TExhaustGas;Temperature of exhaust gas at standard operation conditions;§C;;;;;;
0516;PartLoad;Mean utilisation factor (full capacity = 100%);%;;;;;;
0517;HPerDayEq;hours of operation per day;hrs/day;;;;;;
0518;NDaysEq;days of operation per year;days / year;;;;;;
0519;USHtotQ;Useful Supply Heat from questionnaire;MWh / year;;;;;;
0520;PipeDuctEquip;heat or cold supplyed to the distribution line / branch (piping or duct) no.;-;;;;;;
0521;CoolTowerType;Only for cooling: Type of cooling tower: dry/wet ?;;;;;;;
C501;NEquip;Number of supply equipments of each type (boilers, ?) / No. of units  ;-;;;;;;
C502;USH;Useful Supply Heat for industry (total);;;;;;;
C503;USHj;Useful Supply Heat by equipment;MWh / year;;;;;;
C504;FET;Final Energy consumption for Thermal use for industry (total);;;;;;;
C505;FETj;Final energy for thermal use (consumed by each equipment);MWh / year;;;;;;
C506;HGEffAvg;Average conversion efficiency from final energy to useful supply heat;-;;;;;;
0600;;Distribution of heat/cold;;;;;;;
0601;Pipeduct;Name of the branch / distribution system;-;;;;;;
0602;HeatFromEquipNo;Heat or cold supply comes from equipment(s) no.:;-;;;;;;
0603;HeatDistMedium;heat or cold distribution medium;-;;;;;;
0604;DistribCircFlow;nominal production or circulation rate(specify units);mü/hkg/h;;;;;;
0605;ToutDistrib;outlet temperature (to distribution);øC;;;;;;
0606;TreturnDistrib;return temperature (from distribution);øC;;;;;;
0607;PercentRecirc;Percentage of recirculation;%;;;;;;
0608;Tfeedup;feed-up in open circuit;øC;;;;;;
0609;PressDistMedium;pressure;bar;;;;;;
0610;PercentCondRecovery;percentage of condensate recovery (steam boilers only);%;;;;;;
0611;TotLengthDistPipe;total length of distribution piping or ducts (one way);m ;;;;;;
0612;UDistPipe;total coefficient of heat losses for piping or ducts;kW/K;;;;;;
0613;DDistPipe;mean pipe diameter;mm;;;;;;
0614;DeltaDistPipe;insulation thickness;mm;;;;;;
0615;;Storage;;;;;;;
0616;NumStorageUnits;Number of the heat or cold storage units ;-;;;;;;
0617;VtotStorage;Total volume of the storage;mü ;;;;;;
0618;TypeStorage;Type of storage / storage medium;-;;;;;;
0619;PmaxStorage;maximum pressure;bar;;;;;;
0620;TmaxStorage;maximum temperature of the storage ;øC;;;;;;
0621;EnclChartHCDistribSys;Enclosing flowchart of the heat supply and distribution system?;yes/no;;;;;;
C601;NPIPEDUCT;Number of pipes or ducts;-;;;;;;
C602;HDEffAvg;Average distribution efficiency;-;;;;;;
0800;;Buildings;;;;;;;
0801;NBuild;;;;;;;;
0802;BuildName;Building short name;-;;;;;;
0803;BuildConstructSurface;Constructed surface ;m2;;;;;;
0804;BuildUsefulSurface;Useful surface ;m2;;;;;;
0805;BuildUsage;Use of the building;;;;;;;
0806;BuildEnergyDemand;Global data on energy demand;;;;;;;
0807;BuildMaxHP;Maximum heating power;kW;;;;;;
0808;BuildMaxCP;Maximum cooling power;kW;;;;;;
0809;BuildAnnualHeating;Annual heating demand;MWh / year;;;;;;
0810;BuildAnnualAirCond;Annual demand of air conditioning;MWh / year;;;;;;
0811;BuildDailyDHW;Daily consumption of  DHW;l/day;;;;;;
0812;BuildHoursOccup;Hours of occupation ;h/day;;;;;;
0813;BuildDaysInUse;Days of use per year;days/year;;;;;;
0814;BuildHolidaysPeriod;Holidays period;-;;;;;;
0815;BuildHeatingPeriod;Heating period;;;;;;;
0816;BuildAirCondPeriod;Air conditioning period;;;;;;;
0817;EnclBuildDraw;Enclosing building drawing or sketch?;yes/no;;;;;;
0900;;Renewable energy;;;;;;;
0901;REMotivation;Main motivation for renewable energy use;;;;;;;
0902;REInterest;Are you interested in the use of renweable energy? (solar thermal/biomass);yes/no;;;;;;
0903;REReason;If affirmative, please specify the principal reasons:;;;;;;;
0904;SurfAreaRoof;Available roof area;mý;;;;;;
0905;SurfAreaGround;Available ground area;mý;;;;;;
0906;InclinationRoof;Positioning of the roof area;Inclination;;;;;;
0907;InclinationGround;Positioning of the ground area;Inclination;;;;;;
0908;OrientationRoof;Orientation of the roof area;orientation to south;;;;;;
0909;OrientationGround;Orientation of the ground area;orientation to south;;;;;;
0910;ShadingRoof;shading of roof;;;;;;;
0911;ShadingGround;shading of ground;;;;;;;
0912;DistanceToRoof;Distance between roof and process;;;;;;;
0913;DistanceToGround;Distance between ground and process;;;;;;;
0914;RoofType;Type of roof;;;;;;;
